,Country Name,Country Code,variable,value
94,Isle of Man,IMN,Adjusted savings: carbon dioxide damage (% of GNI),
95,Israel,ISR,Adjusted savings: carbon dioxide damage (% of GNI),0.6761754735243
96,Italy,ITA,Adjusted savings: carbon dioxide damage (% of GNI),0.670273412345423
97,Jamaica,JAM,Adjusted savings: carbon dioxide damage (% of GNI),2.05493497894104
98,Japan,JPN,Adjusted savings: carbon dioxide damage (% of GNI),0.883689946631087
99,Jordan,JOR,Adjusted savings: carbon dioxide damage (% of GNI),2.40510668968786
100,Kazakhstan,KAZ,Adjusted savings: carbon dioxide damage (% of GNI),6.5319620452034
101,Kenya,KEN,Adjusted savings: carbon dioxide damage (% of GNI),0.939457358943607
102,Kiribati,KIR,Adjusted savings: carbon dioxide damage (% of GNI),0.69795044530083
103,"Korea, Dem. People's Rep.",PRK,Adjusted savings: carbon dioxide damage (% of GNI),
104,"Korea, Rep.",KOR,Adjusted savings: carbon dioxide damage (% of GNI),1.61232289642405
105,Kosovo,XKX,Adjusted savings: carbon dioxide damage (% of GNI),4.72339020167095
106,Kuwait,KWT,Adjusted savings: carbon dioxide damage (% of GNI),2.35881600170746
107,Kyrgyz Republic,KGZ,Adjusted savings: carbon dioxide damage (% of GNI),6.07005978948516
108,Lao PDR,LAO,Adjusted savings: carbon dioxide damage (% of GNI),7.13672543330878
109,Latvia,LVA,Adjusted savings: carbon dioxide damage (% of GNI),0.875316443430816
110,Lebanon,LBN,Adjusted savings: carbon dioxide damage (% of GNI),1.92538982616435
111,Lesotho,LSO,Adjusted savings: carbon dioxide damage (% of GNI),3.35328801003245
112,Liberia,LBR,Adjusted savings: carbon dioxide damage (% of GNI),2.51633151595373
113,Libya,LBY,Adjusted savings: carbon dioxide damage (% of GNI),7.44040219731401
114,Liechtenstein,LIE,Adjusted savings: carbon dioxide damage (% of GNI),0.0273656213817942
115,Lithuania,LTU,Adjusted savings: carbon dioxide damage (% of GNI),1.03867626353316
116,Luxembourg,LUX,Adjusted savings: carbon dioxide damage (% of GNI),0.760660392827185
117,"Macao SAR, China",MAC,Adjusted savings: carbon dioxide damage (% of GNI),0.179180891868528
118,Madagascar,MDG,Adjusted savings: carbon dioxide damage (% of GNI),1.69272780486002
119,Malawi,MWI,Adjusted savings: carbon dioxide damage (% of GNI),0.720346420784586
120,Malaysia,MYS,Adjusted savings: carbon dioxide damage (% of GNI),3.13350519698345
121,Maldives,MDV,Adjusted savings: carbon dioxide damage (% of GNI),1.52199937373762
122,Mali,MLI,Adjusted savings: carbon dioxide damage (% of GNI),1.08083107246599
123,Malta,MLT,Adjusted savings: carbon dioxide damage (% of GNI),0.3471266262015
124,Marshall Islands,MHL,Adjusted savings: carbon dioxide damage (% of GNI),2.16595088529742
125,Mauritania,MRT,Adjusted savings: carbon dioxide damage (% of GNI),1.75909211291132
126,Mauritius,MUS,Adjusted savings: carbon dioxide damage (% of GNI),1.17888890817097
127,Mexico,MEX,Adjusted savings: carbon dioxide damage (% of GNI),1.57804495466019
128,"Micronesia, Fed. Sts.",FSM,Adjusted savings: carbon dioxide damage (% of GNI),1.45000395813036
129,Moldova,MDA,Adjusted savings: carbon dioxide damage (% of GNI),1.73578389643311
130,Monaco,MCO,Adjusted savings: carbon dioxide damage (% of GNI),
131,Mongolia,MNG,Adjusted savings: carbon dioxide damage (% of GNI),11.0538543675335
132,Montenegro,MNE,Adjusted savings: carbon dioxide damage (% of GNI),1.61015834905242
133,Morocco,MAR,Adjusted savings: carbon dioxide damage (% of GNI),2.23824285075148
134,Mozambique,MOZ,Adjusted savings: carbon dioxide damage (% of GNI),3.12186993374021
135,Myanmar,MMR,Adjusted savings: carbon dioxide damage (% of GNI),1.68554510231881
136,Namibia,NAM,Adjusted savings: carbon dioxide damage (% of GNI),1.42903886145754
137,Nauru,NRU,Adjusted savings: carbon dioxide damage (% of GNI),1.15887738879993
138,Nepal,NPL,Adjusted savings: carbon dioxide damage (% of GNI),1.85863586652307
139,Netherlands,NLD,Adjusted savings: carbon dioxide damage (% of GNI),0.795994151554104
140,New Caledonia,NCL,Adjusted savings: carbon dioxide damage (% of GNI),
141,New Zealand,NZL,Adjusted savings: carbon dioxide damage (% of GNI),0.727748118555854
142,Nicaragua,NIC,Adjusted savings: carbon dioxide damage (% of GNI),1.70573492523511
143,Niger,NER,Adjusted savings: carbon dioxide damage (% of GNI),0.899597731896777
144,Nigeria,NGA,Adjusted savings: carbon dioxide damage (% of GNI),1.13785774447942
145,North Macedonia,MKD,Adjusted savings: carbon dioxide damage (% of GNI),2.17274768655605
146,Northern Mariana Islands,MNP,Adjusted savings: carbon dioxide damage (% of GNI),
147,Norway,NOR,Adjusted savings: carbon dioxide damage (% of GNI),0.384448917614072
148,Oman,OMN,Adjusted savings: carbon dioxide damage (% of GNI),3.82251122084454
149,Pakistan,PAK,Adjusted savings: carbon dioxide damage (% of GNI),3.30479883419906
150,Palau,PLW,Adjusted savings: carbon dioxide damage (% of GNI),3.02294168153504
151,Panama,PAN,Adjusted savings: carbon dioxide damage (% of GNI),0.750034905133499
152,Papua New Guinea,PNG,Adjusted savings: carbon dioxide damage (% of GNI),1.32625440463218
153,Paraguay,PRY,Adjusted savings: carbon dioxide damage (% of GNI),0.916752174997132
154,Peru,PER,Adjusted savings: carbon dioxide damage (% of GNI),1.12199815191212
155,Philippines,PHL,Adjusted savings: carbon dioxide damage (% of GNI),1.46235361395562
156,Poland,POL,Adjusted savings: carbon dioxide damage (% of GNI),2.19195130303182
157,Portugal,PRT,Adjusted savings: carbon dioxide damage (% of GNI),0.883497497323653
158,Puerto Rico,PRI,Adjusted savings: carbon dioxide damage (% of GNI),0.225659279388725
159,Qatar,QAT,Adjusted savings: carbon dioxide damage (% of GNI),2.30415476470591
160,Romania,ROU,Adjusted savings: carbon dioxide damage (% of GNI),1.13218476882129
161,Russian Federation,RUS,Adjusted savings: carbon dioxide damage (% of GNI),4.43031598698889
162,Rwanda,RWA,Adjusted savings: carbon dioxide damage (% of GNI),0.579475934522945
163,Samoa,WSM,Adjusted savings: carbon dioxide damage (% of GNI),1.38628334219807
164,San Marino,SMR,Adjusted savings: carbon dioxide damage (% of GNI),
165,Sao Tome and Principe,STP,Adjusted savings: carbon dioxide damage (% of GNI),1.2663143218505
166,Saudi Arabia,SAU,Adjusted savings: carbon dioxide damage (% of GNI),2.96883297779254
167,Senegal,SEN,Adjusted savings: carbon dioxide damage (% of GNI),2.7283776445847
168,Serbia,SRB,Adjusted savings: carbon dioxide damage (% of GNI),3.75965909931227
169,Seychelles,SYC,Adjusted savings: carbon dioxide damage (% of GNI),1.41835087594942
170,Sierra Leone,SLE,Adjusted savings: carbon dioxide damage (% of GNI),1.33793381886078
171,Singapore,SGP,Adjusted savings: carbon dioxide damage (% of GNI),0.501648572723493
172,Sint Maarten (Dutch part),SXM,Adjusted savings: carbon dioxide damage (% of GNI),
173,Slovak Republic,SVK,Adjusted savings: carbon dioxide damage (% of GNI),1.23901780300352
174,Slovenia,SVN,Adjusted savings: carbon dioxide damage (% of GNI),0.984890001456958
175,Solomon Islands,SLB,Adjusted savings: carbon dioxide damage (% of GNI),0.430037430009184
176,Somalia,SOM,Adjusted savings: carbon dioxide damage (% of GNI),
177,South Africa,ZAF,Adjusted savings: carbon dioxide damage (% of GNI),5.45111720100517
178,South Sudan,SSD,Adjusted savings: carbon dioxide damage (% of GNI),0.642127674297152
179,Spain,ESP,Adjusted savings: carbon dioxide damage (% of GNI),0.686151276992452
180,Sri Lanka,LKA,Adjusted savings: carbon dioxide damage (% of GNI),1.31236300640772
181,St. Kitts and Nevis,KNA,Adjusted savings: carbon dioxide damage (% of GNI),0.987061809282489
182,St. Lucia,LCA,Adjusted savings: carbon dioxide damage (% of GNI),0.915109752946327
183,St. Martin (French part),MAF,Adjusted savings: carbon dioxide damage (% of GNI),
184,St. Vincent and the Grenadines,VCT,Adjusted savings: carbon dioxide damage (% of GNI),1.08713659780096
185,Sudan,SDN,Adjusted savings: carbon dioxide damage (% of GNI),2.75066404861129
186,Suriname,SUR,Adjusted savings: carbon dioxide damage (% of GNI),2.09985200921941
187,Sweden,SWE,Adjusted savings: carbon dioxide damage (% of GNI),0.308254429757205
188,Switzerland,CHE,Adjusted savings: carbon dioxide damage (% of GNI),0.189764362728661
189,Syrian Arab Republic,SYR,Adjusted savings: carbon dioxide damage (% of GNI),
190,Tajikistan,TJK,Adjusted savings: carbon dioxide damage (% of GNI),2.90713367030785
191,Tanzania,TZA,Adjusted savings: carbon dioxide damage (% of GNI),1.0643984574345
192,Thailand,THA,Adjusted savings: carbon dioxide damage (% of GNI),2.4147416750658
193,Timor-Leste,TLS,Adjusted savings: carbon dioxide damage (% of GNI),1.05120662012469
194,Togo,TGO,Adjusted savings: carbon dioxide damage (% of GNI),2.56102376256345
195,Tonga,TON,Adjusted savings: carbon dioxide damage (% of GNI),0.972955032913764
196,Trinidad and Tobago,TTO,Adjusted savings: carbon dioxide damage (% of GNI),7.17398069548413
197,Tunisia,TUN,Adjusted savings: carbon dioxide damage (% of GNI),3.47774908274195
198,Turkey,TUR,Adjusted savings: carbon dioxide damage (% of GNI),2.1252578917624
199,Turkmenistan,TKM,Adjusted savings: carbon dioxide damage (% of GNI),7.08140142903613
200,Turks and Caicos Islands,TCA,Adjusted savings: carbon dioxide damage (% of GNI),0.833845436727966
201,Tuvalu,TUV,Adjusted savings: carbon dioxide damage (% of GNI),0.783242154356392
202,Uganda,UGA,Adjusted savings: carbon dioxide damage (% of GNI),0.835362787228829
203,Ukraine,UKR,Adjusted savings: carbon dioxide damage (% of GNI),5.18195783996734
204,United Arab Emirates,ARE,Adjusted savings: carbon dioxide damage (% of GNI),2.19155977071731
205,United Kingdom,GBR,Adjusted savings: carbon dioxide damage (% of GNI),0.508976300137812
206,United States,USA,Adjusted savings: carbon dioxide damage (% of GNI),0.931082907893686
207,Uruguay,URY,Adjusted savings: carbon dioxide damage (% of GNI),0.477356329410922
208,Uzbekistan,UZB,Adjusted savings: carbon dioxide damage (% of GNI),5.56101436241618
209,Vanuatu,VUT,Adjusted savings: carbon dioxide damage (% of GNI),0.745173608443471
210,"Venezuela, RB",VEN,Adjusted savings: carbon dioxide damage (% of GNI),
211,Vietnam,VNM,Adjusted savings: carbon dioxide damage (% of GNI),3.9509940053874
212,Virgin Islands (U.S.),VIR,Adjusted savings: carbon dioxide damage (% of GNI),
213,West Bank and Gaza,PSE,Adjusted savings: carbon dioxide damage (% of GNI),0.669909943653158
214,World,WLD,Adjusted savings: carbon dioxide damage (% of GNI),1.63112680282607
215,"Yemen, Rep.",YEM,Adjusted savings: carbon dioxide damage (% of GNI),1.7302851260398
216,Zambia,ZMB,Adjusted savings: carbon dioxide damage (% of GNI),1.15968186708319
217,Zimbabwe,ZWE,Adjusted savings: carbon dioxide damage (% of GNI),2.15516160935819
218,Afghanistan,AFG,Adjusted savings: carbon dioxide damage (current US$),433636073.63528
219,Albania,ALB,Adjusted savings: carbon dioxide damage (current US$),200266280.970466
220,Algeria,DZA,Adjusted savings: carbon dioxide damage (current US$),6499625473.96155
221,American Samoa,ASM,Adjusted savings: carbon dioxide damage (current US$),13542294.121364
222,Andorra,AND,Adjusted savings: carbon dioxide damage (current US$),19819987.9095663
223,Angola,AGO,Adjusted savings: carbon dioxide damage (current US$),1403197065.97143
224,Antigua and Barbuda,ATG,Adjusted savings: carbon dioxide damage (current US$),28556064.8764556
225,Argentina,ARG,Adjusted savings: carbon dioxide damage (current US$),7977436638.91536
226,Armenia,ARM,Adjusted savings: carbon dioxide damage (current US$),246182756.790801
227,Aruba,ABW,Adjusted savings: carbon dioxide damage (current US$),10048096.9493513
228,Australia,AUS,Adjusted savings: carbon dioxide damage (current US$),15024708971.0751
229,Austria,AUT,Adjusted savings: carbon dioxide damage (current US$),2497946638.24008
230,Azerbaijan,AZE,Adjusted savings: carbon dioxide damage (current US$),1547315423.0847
231,"Bahamas, The",BHS,Adjusted savings: carbon dioxide damage (current US$),80304245.0730603
232,Bahrain,BHR,Adjusted savings: carbon dioxide damage (current US$),1320116852.69528
233,Bangladesh,BGD,Adjusted savings: carbon dioxide damage (current US$),4416470360.02237
234,Barbados,BRB,Adjusted savings: carbon dioxide damage (current US$),49767473.1900662
235,Belarus,BLR,Adjusted savings: carbon dioxide damage (current US$),2340424092.16525
236,Belgium,BEL,Adjusted savings: carbon dioxide damage (current US$),3913081233.21587
237,Belize,BLZ,Adjusted savings: carbon dioxide damage (current US$),23690127.0480694
238,Benin,BEN,Adjusted savings: carbon dioxide damage (current US$),315842369.021908
239,Bermuda,BMU,Adjusted savings: carbon dioxide damage (current US$),27319276.3051625
240,Bhutan,BTN,Adjusted savings: carbon dioxide damage (current US$),75072901.4235455
241,Bolivia,BOL,Adjusted savings: carbon dioxide damage (current US$),1025312011.57694
242,Bosnia and Herzegovina,BIH,Adjusted savings: carbon dioxide damage (current US$),967136777.081844
243,Botswana,BWA,Adjusted savings: carbon dioxide damage (current US$),295330791.790576
244,Brazil,BRA,Adjusted savings: carbon dioxide damage (current US$),20780569354.5184
245,British Virgin Islands,VGB,Adjusted savings: carbon dioxide damage (current US$),9079206.59945633
246,Brunei Darussalam,BRN,Adjusted savings: carbon dioxide damage (current US$),318393765.361451
247,Bulgaria,BGR,Adjusted savings: carbon dioxide damage (current US$),1704254179.68587
248,Burkina Faso,BFA,Adjusted savings: carbon dioxide damage (current US$),185322017.319103
249,Burundi,BDI,Adjusted savings: carbon dioxide damage (current US$),26564741.267096
250,Cabo Verde,CPV,Adjusted savings: carbon dioxide damage (current US$),24208860.2585203
251,Cambodia,KHM,Adjusted savings: carbon dioxide damage (current US$),566493480.719384
252,Cameroon,CMR,Adjusted savings: carbon dioxide damage (current US$),362227716.995262
253,Canada,CAN,Adjusted savings: carbon dioxide damage (current US$),22410950402.966
254,Cayman Islands,CYM,Adjusted savings: carbon dioxide damage (current US$),23570871.7338485
255,Central African Republic,CAF,Adjusted savings: carbon dioxide damage (current US$),15829212.252818
256,Chad,TCD,Adjusted savings: carbon dioxide damage (current US$),38199171.0948703
257,Channel Islands,CHI,Adjusted savings: carbon dioxide damage (current US$),
258,Chile,CHL,Adjusted savings: carbon dioxide damage (current US$),3602558438.08962
259,China,CHN,Adjusted savings: carbon dioxide damage (current US$),439615653839.565
260,Colombia,COL,Adjusted savings: carbon dioxide damage (current US$),4365877860.19481
261,Comoros,COM,Adjusted savings: carbon dioxide damage (current US$),9887225.51562752
262,"Congo, Dem. Rep.",COD,Adjusted savings: carbon dioxide damage (current US$),94471257.1842522
263,"Congo, Rep.",COG,Adjusted savings: carbon dioxide damage (current US$),147259159.804216
264,Costa Rica,CRI,Adjusted savings: carbon dioxide damage (current US$),318076566.634901
265,Cote d'Ivoire,CIV,Adjusted savings: carbon dioxide damage (current US$),509188875.31178
266,Croatia,HRV,Adjusted savings: carbon dioxide damage (current US$),715936724.565209
267,Cuba,CUB,Adjusted savings: carbon dioxide damage (current US$),1139293852.99341
268,Curacao,CUW,Adjusted savings: carbon dioxide damage (current US$),193611213.890514
269,Cyprus,CYP,Adjusted savings: carbon dioxide damage (current US$),280540125.663934
270,Czech Republic,CZE,Adjusted savings: carbon dioxide damage (current US$),4206058630.74309
271,Denmark,DNK,Adjusted savings: carbon dioxide damage (current US$),1159507806.319
272,Djibouti,DJI,Adjusted savings: carbon dioxide damage (current US$),23841239.5999495
273,Dominica,DMA,Adjusted savings: carbon dioxide damage (current US$),7246482.22027787
274,Dominican Republic,DOM,Adjusted savings: carbon dioxide damage (current US$),1117679451.7221
275,Ecuador,ECU,Adjusted savings: carbon dioxide damage (current US$),1715723430.66295
276,"Egypt, Arab Rep.",EGY,Adjusted savings: carbon dioxide damage (current US$),10910678982.7559
277,El Salvador,SLV,Adjusted savings: carbon dioxide damage (current US$),296944945.399348
278,Equatorial Guinea,GNQ,Adjusted savings: carbon dioxide damage (current US$),182453391.446476
279,Eritrea,ERI,Adjusted savings: carbon dioxide damage (current US$),32669511.1165884
280,Estonia,EST,Adjusted savings: carbon dioxide damage (current US$),763761475.851489
281,Eswatini,SWZ,Adjusted savings: carbon dioxide damage (current US$),46564635.8169289
282,Ethiopia,ETH,Adjusted savings: carbon dioxide damage (current US$),794532124.060428
283,Faroe Islands,FRO,Adjusted savings: carbon dioxide damage (current US$),27970423.8622516
284,Fiji,FJI,Adjusted savings: carbon dioxide damage (current US$),110223697.902382
285,Finland,FIN,Adjusted savings: carbon dioxide damage (current US$),1773707574.6931
286,France,FRA,Adjusted savings: carbon dioxide damage (current US$),12857213582.9984
287,French Polynesia,PYF,Adjusted savings: carbon dioxide damage (current US$),31016758.4323852
288,Gabon,GAB,Adjusted savings: carbon dioxide damage (current US$),222309612.887092
289,"Gambia, The",GMB,Adjusted savings: carbon dioxide damage (current US$),28102253.5866694
290,Georgia,GEO,Adjusted savings: carbon dioxide damage (current US$),518033139.884659
291,Germany,DEU,Adjusted savings: carbon dioxide damage (current US$),29342948694.718
292,Ghana,GHA,Adjusted savings: carbon dioxide damage (current US$),868698216.395421
293,Gibraltar,GIB,Adjusted savings: carbon dioxide damage (current US$),28497395.8094526
294,Greece,GRC,Adjusted savings: carbon dioxide damage (current US$),2588986965.82406
295,Greenland,GRL,Adjusted savings: carbon dioxide damage (current US$),18992946.6934914
296,Grenada,GRD,Adjusted savings: carbon dioxide damage (current US$),11959202.9597206
297,Guam,GUM,Adjusted savings: carbon dioxide damage (current US$),69844456.8451447
298,Guatemala,GTM,Adjusted savings: carbon dioxide damage (current US$),772833181.296028
299,Guinea,GIN,Adjusted savings: carbon dioxide damage (current US$),145794524.10838
300,Guinea-Bissau,GNB,Adjusted savings: carbon dioxide damage (current US$),13505534.5065715
301,Guyana,GUY,Adjusted savings: carbon dioxide damage (current US$),114394196.006997
302,Haiti,HTI,Adjusted savings: carbon dioxide damage (current US$),126522221.299889
303,Honduras,HND,Adjusted savings: carbon dioxide damage (current US$),435692836.962465
304,"Hong Kong SAR, China",HKG,Adjusted savings: carbon dioxide damage (current US$),1750360920.29042
305,Hungary,HUN,Adjusted savings: carbon dioxide damage (current US$),1912815259.89125
306,Iceland,ISL,Adjusted savings: carbon dioxide damage (current US$),86858301.5812054
307,India,IND,Adjusted savings: carbon dioxide damage (current US$),113851022631.453
308,Indonesia,IDN,Adjusted savings: carbon dioxide damage (current US$),24307612267.6336
309,"Iran, Islamic Rep.",IRN,Adjusted savings: carbon dioxide damage (current US$),27815593266.2213
310,Iraq,IRQ,Adjusted savings: carbon dioxide damage (current US$),8869505262.42775
311,Ireland,IRL,Adjusted savings: carbon dioxide damage (current US$),1607459582.60565
312,Isle of Man,IMN,Adjusted savings: carbon dioxide damage (current US$),
313,Israel,ISR,Adjusted savings: carbon dioxide damage (current US$),2655929357.19189
314,Italy,ITA,Adjusted savings: carbon dioxide damage (current US$),13544617007.3114
315,Jamaica,JAM,Adjusted savings: carbon dioxide damage (current US$),329812505.370082
316,Japan,JPN,Adjusted savings: carbon dioxide damage (current US$),46570460187.4583
317,Jordan,JOR,Adjusted savings: carbon dioxide damage (current US$),1070521661.59734
318,Kazakhstan,KAZ,Adjusted savings: carbon dioxide damage (current US$),10384056022.1212
319,Kenya,KEN,Adjusted savings: carbon dioxide damage (current US$),879332087.971216
320,Kiribati,KIR,Adjusted savings: carbon dioxide damage (current US$),2663710.77121496
321,"Korea, Dem. People's Rep.",PRK,Adjusted savings: carbon dioxide damage (current US$),541883578.387217
322,"Korea, Rep.",KOR,Adjusted savings: carbon dioxide damage (current US$),26781489471.0516
323,Kosovo,XKX,Adjusted savings: carbon dioxide damage (current US$),321236565.08773
